Numero de iteracoes: 24
Erro: 9.44707e-07
Tempo de Resolucao do Problema: 9319.47 segundos
/////////////////////////////////////////////
Posicao	Fluxo Escalar
	Grupo de Energia 1	Grupo de Energia 2	Grupo de Energia 3	Grupo de Energia 4	Grupo de Energia 5	Grupo de Energia 6	Grupo de Energia 7	Grupo de Energia 8	Grupo de Energia 9	Grupo de Energia 10	Grupo de Energia 11	Grupo de Energia 12	Grupo de Energia 13	Grupo de Energia 14	Grupo de Energia 15	Grupo de Energia 16	Grupo de Energia 17	Grupo de Energia 18	Grupo de Energia 19
1.38	0.132034	0.0146412	0.0113012	0.011781	0.0125478	0.0137788	0.0102276	0.0115072	0.0134246	0.016454	0.0216022	0.0309145	0.0168882	0.0166707	0.0135225	0.00480686	0.00149756	0.000130889	2.29993e-05	
1.4	0.13006	0.0145128	0.0112055	0.0116847	0.0124492	0.0136753	0.0101537	0.0114267	0.0133333	0.0163448	0.021461	0.0307138	0.0168133	0.0166025	0.0134707	0.00479071	0.00149256	0.000130463	2.29241e-05	
1.42	0.128121	0.014385	0.0111101	0.0115886	0.0123508	0.0135719	0.0100797	0.011346	0.0132418	0.0162352	0.0213192	0.0305122	0.0167369	0.0165327	0.0134173	0.00477397	0.00148737	0.00013002	2.2846e-05	
1.44	0.126217	0.0142578	0.0110151	0.0114928	0.0122526	0.0134686	0.0100057	0.0112652	0.0131501	0.0161254	0.0211769	0.0303098	0.0166591	0.0164613	0.0133626	0.00475666	0.00148201	0.00012956	2.2765e-05	
1.46	0.124346	0.0141312	0.0109205	0.0113973	0.0121547	0.0133654	0.00993175	0.0111843	0.0130583	0.0160153	0.0210342	0.0301066	0.01658	0.0163884	0.0133065	0.00473881	0.00147647	0.000129086	2.26814e-05	
1.48	0.122508	0.0140052	0.0108262	0.0113021	0.0120569	0.0132623	0.00985779	0.0111034	0.0129663	0.0159049	0.020891	0.0299027	0.0164995	0.0163141	0.0132491	0.00472043	0.00147076	0.000128596	2.25952e-05	
1.5	0.120703	0.0138798	0.0107324	0.0112073	0.0119594	0.0131593	0.00978388	0.0110225	0.0128743	0.0157944	0.0207476	0.0296982	0.0164179	0.0162384	0.0131904	0.00470155	0.0014649	0.000128093	2.25064e-05	
1.52	0.118928	0.0137551	0.0106389	0.0111128	0.0118622	0.0130566	0.00971004	0.0109416	0.0127822	0.0156837	0.0206038	0.0294933	0.0163351	0.0161614	0.0131307	0.00468219	0.00145889	0.000127576	2.24154e-05	
1.54	0.117185	0.013631	0.0105459	0.0110187	0.0117652	0.012954	0.00963628	0.0108607	0.01269	0.0155728	0.0204598	0.0292879	0.0162513	0.0160831	0.0130697	0.00466236	0.00145273	0.000127045	2.2322e-05	
1.56	0.115472	0.0135077	0.0104534	0.010925	0.0116686	0.0128517	0.00956262	0.0107799	0.0125979	0.0154619	0.0203156	0.0290821	0.0161664	0.0160037	0.0130078	0.0046421	0.00144643	0.000126503	2.22265e-05	
